"","Symbol","Year","Indicator"
"4451","CGIX","Y2010",0
"4452","CGNT","Y2010",0
"4453","CGNX","Y2010",1
"4454","CHCI","Y2010",1
"4455","CHDN","Y2010",1
"4456","CHEF","Y2010",1
"4457","CHEK","Y2010",0
"4458","CHFS","Y2010",0
"4459","CHKE","Y2010",1
"4460","CHKP","Y2010",1
"4461","CHMA","Y2010",0
"4462","CHNR","Y2010",1
"4463","CHRS","Y2010",0
"4464","CHRW","Y2010",1
"4465","CHSCM","Y2010",NA
"4466","CHSCN","Y2010",NA
"4467","CHSCO","Y2010",NA
"4468","CHSCP","Y2010",NA
"4469","CHTR","Y2010",1
"4470","CHUBA","Y2010",0
"4471","CHUBK","Y2010",0
"4472","CHUY","Y2010",0
"4473","CIDM","Y2010",1
"4474","CIFS","Y2010",0
"4475","CJJD","Y2010",0
"4476","CKPT","Y2010",0
"4477","CLAR","Y2010",1
"4478","CLBS","Y2010",1
"4479","CLCT","Y2010",1
"4480","CLDX","Y2010",1
"4481","CLFD","Y2010",1
"4482","CLGN","Y2010",0
"4483","CLIR","Y2010",0
"4484","CLLS","Y2010",0
"4485","CLMT","Y2010",1
"4486","CLNE","Y2010",1
"4487","CLRB","Y2010",1
"4488","CLRO","Y2010",0
"4489","CLSD","Y2010",0
"4490","CLSN","Y2010",1
"4491","CLUB","Y2010",1
"4492","CLVS","Y2010",0
"4493","CLWT","Y2010",1
"4494","CLXT","Y2010",0
"4495","CMCO","Y2010",1
"4496","CMCSA","Y2010",1
"4497","CMCT","Y2010",0
"4498","CMPR","Y2010",1
"4499","CMRX","Y2010",0
"4500","CMTA","Y2010",0
"4501","CMTL","Y2010",1
"4502","CNAT","Y2010",0
"4503","CNCE","Y2010",0
"4504","CNET","Y2010",1
"4505","CNIT","Y2010",1
"4506","CNMD","Y2010",1
"4507","CNSL","Y2010",1
"4508","CNTY","Y2010",1
"4509","CNXN","Y2010",1
"4510","CODA","Y2010",1
"4511","CODX","Y2010",0
"4512","COGT","Y2010",1
"4513","COHR","Y2010",1
"4514","COHU","Y2010",1
"4515","COKE","Y2010",1
"4516","COLL","Y2010",0
"4517","COLM","Y2010",1
"4518","COMM","Y2010",0
"4519","CONE","Y2010",0
"4520","CONN","Y2010",1
"4521","COOL","Y2010",1
"4522","CORE","Y2010",1
"4523","CORI","Y2010",0
"4524","CORT","Y2010",1
"4525","COST","Y2010",1
"4526","COUP","Y2010",0
"4527","CPAH","Y2010",1
"4528","CPHC","Y2010",1
"4529","CPIX","Y2010",1
"4530","CPLA","Y2010",1
"4531","CPLP","Y2010",1
"4532","CPRT","Y2010",1
"4533","CPRX","Y2010",1
"4534","CPSH","Y2010",1
"4535","CPSI","Y2010",1
"4536","CPST","Y2010",1
"4537","CRAI","Y2010",1
"4538","CRAY","Y2010",1
"4539","CRBP","Y2010",0
"4540","CREE","Y2010",1
"4541","CREG","Y2010",1
"4542","CRIS","Y2010",1
"4543","CRME","Y2010",1
"4544","CRMT","Y2010",1
"4545","CRNT","Y2010",1
"4546","CROX","Y2010",1
"4547","CRSP","Y2010",0
"4548","CRTO","Y2010",0
"4549","CRUS","Y2010",1
"4550","CRVS","Y2010",0
"4551","CRWS","Y2010",1
"4552","CRZO","Y2010",1
"4553","CSBR","Y2010",1
"4554","CSCO","Y2010",1
"4555","CSGP","Y2010",1
"4556","CSGS","Y2010",1
"4557","CSII","Y2010",1
"4558","CSIQ","Y2010",1
"4559","CSOD","Y2010",0
"4560","CSPI","Y2010",1
"4561","CSTE","Y2010",0
"4562","CSWC","Y2010",1
"4563","CSWI","Y2010",0
"4564","CSX","Y2010",1
"4565","CTAS","Y2010",1
"4566","CTG","Y2010",1
"4567","CTHR","Y2010",1
"4568","CTIB","Y2010",1
"4569","CTIC","Y2010",1
"4570","CTMX","Y2010",0
"4571","CTRE","Y2010",0
"4572","CTRL","Y2010",0
"4573","CTRN","Y2010",1
"4574","CTRP","Y2010",1
"4575","CTRV","Y2010",0
"4576","CTSH","Y2010",1
"4577","CTSO","Y2010",1
"4578","CTWS","Y2010",1
"4579","CTXR","Y2010",0
"4580","CTXS","Y2010",1
"4581","CUE","Y2010",0
"4582","CUI","Y2010",1
"4583","CUR","Y2010",1
"4584","CUTR","Y2010",1
"4585","CVCO","Y2010",1
"4586","CVGI","Y2010",1
"4587","CVGW","Y2010",1
"4588","CVLT","Y2010",1
"4589","CVTI","Y2010",1
"4590","CVV","Y2010",1
"4591","CWBR","Y2010",0
"4592","CWCO","Y2010",1
"4593","CWST","Y2010",1
"4594","CXDC","Y2010",1
"4595","CXRX","Y2010",0
"4596","CY","Y2010",1
"4597","CYAD","Y2010",0
"4598","CYAN","Y2010",1
"4599","CYBE","Y2010",1
"4600","CYCC","Y2010",1
"4601","CYCCP","Y2010",NA
"4602","CYOU","Y2010",1
"4603","CYRN","Y2010",1
"4604","CYRX","Y2010",1
"4605","CYTK","Y2010",1
"4606","CYTR","Y2010",1
"4607","CYTX","Y2010",1
"4608","CZR","Y2010",0
"4609","DAIO","Y2010",1
"4610","DAKT","Y2010",1
"4611","DARE","Y2010",0
"4612","DAVE","Y2010",1
"4613","DBVT","Y2010",0
"4614","DCAR","Y2010",1
"4615","DCIX","Y2010",0
"4616","DCPH","Y2010",0
"4617","DELT","Y2010",0
"4618","DENN","Y2010",1
"4619","DEPO","Y2010",1
"4620","DERM","Y2010",0
"4621","DEST","Y2010",1
"4622","DFBG","Y2010",1
"4623","DFFN","Y2010",1
"4624","DFRG","Y2010",0
"4625","DGII","Y2010",1
"4626","DGLY","Y2010",1
"4627","DIOD","Y2010",1
"4628","DISCA","Y2010",1
"4629","DISCB","Y2010",1
"4630","DISCK","Y2010",1
"4631","DISH","Y2010",1
"4632","DJCO","Y2010",1
"4633","DLHC","Y2010",0
"4634","DLPN","Y2010",1
"4635","DLTH","Y2010",0
"4636","DLTR","Y2010",1
"4637","DMLP","Y2010",1
"4638","DMPI","Y2010",0
"4639","DMRC","Y2010",1
"4640","DNKN","Y2010",0
"4641","DNLI","Y2010",0
"4642","DOGZ","Y2010",0
"4643","DORM","Y2010",1
"4644","DOVA","Y2010",0
"4645","DOX","Y2010",1
"4646","DRAD","Y2010",1
"4647","DRIO","Y2010",0
"4648","DRNA","Y2010",0
"4649","DRRX","Y2010",1
"4650","DRYS","Y2010",1
"4651","DSGX","Y2010",1
"4652","DSKE","Y2010",0
"4653","DSPG","Y2010",1
"4654","DSWL","Y2010",1
"4655","DTEA","Y2010",0
"4656","DTRM","Y2010",1
"4657","DVAX","Y2010",1
"4658","DVCR","Y2010",1
"4659","DWCH","Y2010",1
"4660","DWSN","Y2010",1
"4661","DXCM","Y2010",1
"4662","DXLG","Y2010",1
"4663","DXPE","Y2010",1
"4664","DXYN","Y2010",1
"4665","DYNT","Y2010",1
"4666","DYSL","Y2010",1
"4667","DZSI","Y2010",1
"4668","EA","Y2010",1
"4669","EACQ","Y2010",0
"4670","EARS","Y2010",0
"4671","EAST","Y2010",0
"4672","EBAY","Y2010",1
"4673","EBIO","Y2010",0
"4674","EBIX","Y2010",1
"4675","ECHO","Y2010",1
"4676","ECOL","Y2010",1
"4677","ECYT","Y2010",1
"4678","EDAP","Y2010",1
"4679","EDGE","Y2010",0
"4680","EDGW","Y2010",1
"4681","EDIT","Y2010",0
"4682","EDUC","Y2010",1
"4683","EEI","Y2010",1
"4684","EFII","Y2010",1
"4685","EFOI","Y2010",1
"4686","EGAN","Y2010",1
"4687","EGLE","Y2010",1
"4688","EGLT","Y2010",0
"4689","EGOV","Y2010",1
"4690","EGRX","Y2010",0
"4691","EIGI","Y2010",0
"4692","EIGR","Y2010",0
"4693","EKSO","Y2010",0
"4694","ELGX","Y2010",1
"4695","ELON","Y2010",1
"4696","ELSE","Y2010",1
"4697","ELTK","Y2010",1
"4698","EMITF","Y2010",1
"4699","EMKR","Y2010",1
"4700","EML","Y2010",1
"4701","EMMS","Y2010",1
"4702","ENDP","Y2010",1
"4703","ENG","Y2010",1
"4704","ENPH","Y2010",0
"4705","ENSG","Y2010",1
"4706","ENT","Y2010",0
"4707","ENTA","Y2010",0
"4708","ENTG","Y2010",1
"4709","ENTL","Y2010",0
"4710","EOLS","Y2010",0
"4711","EPAY","Y2010",1
"4712","EPIX","Y2010",0
"4713","EPZM","Y2010",0
"4714","EQIX","Y2010",1
"4715","ERI","Y2010",0
"4716","ERIC","Y2010",1
"4717","ERII","Y2010",1
"4718","ERYP","Y2010",0
"4719","ESCA","Y2010",1
"4720","ESEA","Y2010",1
"4721","ESES","Y2010",0
"4722","ESIO","Y2010",1
"4723","ESLT","Y2010",1
"4724","ESND","Y2010",1
"4725","ESPR","Y2010",0
"4726","ESRX","Y2010",1
"4727","ESTR","Y2010",0
"4728","ETSY","Y2010",0
"4729","EVBG","Y2010",0
"4730","EVEP","Y2010",1
"4731","EVFM","Y2010",0
"4732","EVGN","Y2010",0
"4733","EVK","Y2010",1
"4734","EVLV","Y2010",1
"4735","EVOK","Y2010",0
"4736","EVOL","Y2010",0
"4737","EXAS","Y2010",1
"4738","EXEL","Y2010",1
"4739","EXFO","Y2010",1
"4740","EXLS","Y2010",1
"4741","EXPD","Y2010",1
"4742","EXPE","Y2010",1
"4743","EXPO","Y2010",1
"4744","EXTR","Y2010",1
"4745","EXXI","Y2010",0
"4746","EYE","Y2010",0
"4747","EYEG","Y2010",0
"4748","EYEN","Y2010",0
"4749","EYES","Y2010",0
"4750","EZPW","Y2010",1
"4751","FANG","Y2010",0
"4752","FARM","Y2010",1
"4753","FARO","Y2010",1
"4754","FAST","Y2010",1
"4755","FAT","Y2010",0
"4756","FATE","Y2010",0
"4757","FB","Y2010",0
"4758","FBIO","Y2010",0
"4759","FCEL","Y2010",1
"4760","FCRE","Y2010",1
"4761","FCSC","Y2010",1
"4762","FEIM","Y2010",1
"4763","FELE","Y2010",1
"4764","FENC","Y2010",0
"4765","FEYE","Y2010",0
"4766","FFHL","Y2010",1
"4767","FFIV","Y2010",1
"4768","FGEN","Y2010",0
"4769","FINL","Y2010",1
"4770","FISV","Y2010",1
"4771","FIVE","Y2010",0
"4772","FIVN","Y2010",0
"4773","FIZZ","Y2010",1
"4774","FLDM","Y2010",1
"4775","FLEX","Y2010",1
"4776","FLGT","Y2010",0
"4777","FLIR","Y2010",1
"4778","FLKS","Y2010",0
"4779","FLL","Y2010",1
"4780","FLWS","Y2010",1
"4781","FLXN","Y2010",0
"4782","FLXS","Y2010",1
"4783","FMI","Y2010",0
"4784","FNJN","Y2010",0
"4785","FNKO","Y2010",0
"4786","FNSR","Y2010",1
"4787","FOGO","Y2010",0
"4788","FOLD","Y2010",1
"4789","FOMX","Y2010",0
"4790","FONR","Y2010",1
"4791","FORD","Y2010",1
"4792","FORK","Y2010",0
"4793","FORM","Y2010",1
"4794","FORR","Y2010",1
"4795","FORTY","Y2010",1
"4796","FOSL","Y2010",1
"4797","FOX","Y2010",1
"4798","FOXA","Y2010",1
"4799","FOXF","Y2010",0
"4800","FPAY","Y2010",1
"4801","FPRX","Y2010",0
"4802","FRAN","Y2010",0
"4803","FRED","Y2010",1
"4804","FRGI","Y2010",0
"4805","FRPT","Y2010",0
"4806","FRSH","Y2010",0
"4807","FRSX","Y2010",0
"4808","FRTA","Y2010",0
"4809","FSCT","Y2010",0
"4810","FSLR","Y2010",1
"4811","FSNN","Y2010",1
"4812","FSTR","Y2010",1
"4813","FTD","Y2010",0
"4814","FTEK","Y2010",1
"4815","FTFT","Y2010",1
"4816","FTNT","Y2010",1
"4817","FTR","Y2010",1
"4818","FUV","Y2010",0
"4819","FVE","Y2010",1
"4820","FWONK","Y2010",0
"4821","FWP","Y2010",0
"4822","FWRD","Y2010",1
"4823","GAIA","Y2010",1
"4824","GALT","Y2010",1
"4825","GASS","Y2010",1
"4826","GBT","Y2010",0
"4827","GDEN","Y2010",1
"4828","GDS","Y2010",0
"4829","GEC","Y2010",1
"4830","GEMP","Y2010",0
"4831","GENC","Y2010",1
"4832","GENE","Y2010",1
"4833","GEOS","Y2010",1
"4834","GERN","Y2010",1
"4835","GEVO","Y2010",1
"4836","GFN","Y2010",1
"4837","GHDX","Y2010",1
"4838","GIFI","Y2010",1
"4839","GIGM","Y2010",1
"4840","GIII","Y2010",1
"4841","GILD","Y2010",1
"4842","GILT","Y2010",1
"4843","GLAD","Y2010",1
"4844","GLBS","Y2010",1
"4845","GLDD","Y2010",1
"4846","GLMD","Y2010",0
"4847","GLNG","Y2010",1
"4848","GLPG","Y2010",0
"4849","GLPI","Y2010",0
"4850","GLUU","Y2010",1
"4851","GLYC","Y2010",0
"4852","GMLP","Y2010",0
"4853","GNCA","Y2010",0
"4854","GNCMA","Y2010",1
"4855","GNMK","Y2010",1
"4856","GNMX","Y2010",1
"4857","GNTX","Y2010",1
"4858","GNUS","Y2010",0
"4859","GOGL","Y2010",1
"4860","GOGO","Y2010",0
"4861","GOLD","Y2010",1
"4862","GOOD","Y2010",1
"4863","GOODO","Y2010",NA
"4864","GOODP","Y2010",NA
"4865","GOOG","Y2010",1
"4866","GOOGL","Y2010",1
"4867","GPIC","Y2010",1
"4868","GPOR","Y2010",1
"4869","GPP","Y2010",0
"4870","GPRE","Y2010",1
"4871","GPRO","Y2010",0
"4872","GRBK","Y2010",1
"4873","GRFS","Y2010",1
"4874","GRMN","Y2010",1
"4875","GRPN","Y2010",0
"4876","GRVY","Y2010",0
"4877","GSIT","Y2010",1
"4878","GSM","Y2010",0
"4879","GSUM","Y2010",0
"4880","GT","Y2010",1
"4881","GTHX","Y2010",0
"4882","GTIM","Y2010",1
"4883","GTLS","Y2010",1
"4884","GTXI","Y2010",1
"4885","GURE","Y2010",1
"4886","GWPH","Y2010",0
"4887","GWRS","Y2010",0
"4888","GYRO","Y2010",0
"4889","HA","Y2010",1
"4890","HABT","Y2010",0
"4891","HAIN","Y2010",1
"4892","HAIR","Y2010",0
"4893","HALO","Y2010",1
"4894","HAS","Y2010",1
"4895","HAYN","Y2010",1
"4896","HBIO","Y2010",1
"4897","HBP","Y2010",1
"4898","HCCI","Y2010",1
"4899","HCKT","Y2010",1
"4900","HCM","Y2010",0
"4901","HCOM","Y2010",0
"4902","HCSG","Y2010",1
"4903","HDNG","Y2010",1
"4904","HDP","Y2010",0
"4905","HDS","Y2010",0
"4906","HDSN","Y2010",1
"4907","HEAR","Y2010",1
"4908","HEBT","Y2010",0
"4909","HELE","Y2010",1
"4910","HIBB","Y2010",1
"4911","HIHO","Y2010",1
"4912","HIMX","Y2010",1
"4913","HLG","Y2010",0
"4914","HLIT","Y2010",1
"4915","HMHC","Y2010",0
"4916","HMNY","Y2010",1
"4917","HMSY","Y2010",1
"4918","HMTV","Y2010",0
"4919","HNRG","Y2010",1
"4920","HOFT","Y2010",1
"4921","HOLI","Y2010",1
"4922","HOLX","Y2010",1
"4923","HOVNP","Y2010",NA
"4924","HPJ","Y2010",1
"4925","HPT","Y2010",1
"4926","HQCL","Y2010",0
"4927","HQY","Y2010",0
"4928","HRTX","Y2010",0
"4929","HSGX","Y2010",0
"4930","HSIC","Y2010",1
"4931","HSII","Y2010",1
"4932","HSKA","Y2010",1
"4933","HSON","Y2010",1
"4934","HSTM","Y2010",1
"4935","HTBX","Y2010",0
"4936","HTGM","Y2010",0
"4937","HTHT","Y2010",1
"4938","HTLD","Y2010",1
"4939","HUBG","Y2010",1
"4940","HURC","Y2010",1
"4941","HURN","Y2010",1
"4942","HWCC","Y2010",1
"4943","HWKN","Y2010",1
"4944","HYGS","Y2010",1
"4945","HZNP","Y2010",1
"4946","IAC","Y2010",1
"4947","IART","Y2010",1
"4948","ICAD","Y2010",1
"4949","ICCC","Y2010",1
"4950","ICFI","Y2010",1
"4951","ICHR","Y2010",0
"4952","ICLK","Y2010",0
"4953","ICLR","Y2010",1
"4954","ICON","Y2010",1
"4955","ICPT","Y2010",0
"4956","ICUI","Y2010",1
"4957","IDCC","Y2010",1
"4958","IDRA","Y2010",1
"4959","IDSA","Y2010",1
"4960","IDSY","Y2010",1
"4961","IDTI","Y2010",1
"4962","IDXG","Y2010",1
"4963","IDXX","Y2010",1
"4964","IEP","Y2010",1
"4965","IESC","Y2010",1
"4966","IFMK","Y2010",0
"4967","IFON","Y2010",1
"4968","IGLD","Y2010",1
"4969","III","Y2010",1
"4970","IIIN","Y2010",1
"4971","IIJI","Y2010",1
"4972","IIN","Y2010",1
"4973","IIVI","Y2010",1
"4974","IKNX","Y2010",0
"4975","ILMN","Y2010",1
"4976","ILPT","Y2010",0
"4977","IMDZ","Y2010",0
"4978","IMGN","Y2010",1
"4979","IMI","Y2010",1
"4980","IMKTA","Y2010",1
"4981","IMMP","Y2010",0
"4982","IMMR","Y2010",1
"4983","IMMU","Y2010",1
"4984","IMMY","Y2010",1
"4985","IMOS","Y2010",0
"4986","IMPV","Y2010",0
"4987","IMRN","Y2010",0
"4988","IMTE","Y2010",0
"4989","INAP","Y2010",1
"4990","INCY","Y2010",1
"4991","INFI","Y2010",1
"4992","INFN","Y2010",1
"4993","INFO","Y2010",0
"4994","INGN","Y2010",0
"4995","INNT","Y2010",0
"4996","INO","Y2010",1
"4997","INOD","Y2010",1
"4998","INOV","Y2010",0
"4999","INPX","Y2010",0
"5000","INSE","Y2010",0
"5001","INSG","Y2010",1
"5002","INSM","Y2010",1
"5003","INSY","Y2010",1
"5004","INTC","Y2010",1
"5005","INTG","Y2010",0
"5006","INTU","Y2010",1
"5007","INTX","Y2010",1
"5008","INVA","Y2010",1
"5009","INVE","Y2010",1
"5010","INWK","Y2010",1
"5011","IONS","Y2010",1
"5012","IOSP","Y2010",1
"5013","IOTS","Y2010",0
"5014","IOVA","Y2010",1
"5015","IPAR","Y2010",1
"5016","IPAS","Y2010",1
"5017","IPCI","Y2010",1
"5018","IPDN","Y2010",0
"5019","IPGP","Y2010",1
"5020","IPHS","Y2010",1
"5021","IPIC","Y2010",0
"5022","IPWR","Y2010",0
"5023","IPXL","Y2010",1
"5024","IRBT","Y2010",1
"5025","IRCP","Y2010",1
"5026","IRDM","Y2010",1
"5027","IRDMB","Y2010",NA
"5028","IRIX","Y2010",1
"5029","IRMD","Y2010",0
"5030","IRTC","Y2010",0
"5031","IRWD","Y2010",1
"5032","ISCA","Y2010",1
"5033","ISIG","Y2010",1
"5034","ISNS","Y2010",1
"5035","ISRG","Y2010",1
"5036","ISRL","Y2010",1
"5037","ISSC","Y2010",1
"5038","ITCI","Y2010",0
"5039","ITI","Y2010",1
"5040","ITRI","Y2010",1
"5041","ITRN","Y2010",1
"5042","ITUS","Y2010",1
"5043","IVAC","Y2010",1
"5044","IVTY","Y2010",0
"5045","IZEA","Y2010",0
"5046","JACK","Y2010",1
"5047","JAGX","Y2010",0
"5048","JAKK","Y2010",1
"5049","JASN","Y2010",0
"5050","JASO","Y2010",1
"5051","JAZZ","Y2010",1
"5052","JBHT","Y2010",1
"5053","JBLU","Y2010",1
"5054","JBSS","Y2010",1
"5055","JCOM","Y2010",1
"5056","JCS","Y2010",0
"5057","JCTCF","Y2010",1
"5058","JD","Y2010",0
"5059","JJSF","Y2010",1
"5060","JKHY","Y2010",1
"5061","JMBA","Y2010",1
"5062","JMU","Y2010",0
"5063","JNCE","Y2010",0
"5064","JNP","Y2010",1
"5065","JOBS","Y2010",1
"5066","JOUT","Y2010",1
"5067","JSYN","Y2010",0
"5068","JUNO","Y2010",0
"5069","JVA","Y2010",1
"5070","JYNT","Y2010",0
"5071","KALA","Y2010",0
"5072","KALU","Y2010",1
"5073","KALV","Y2010",0
"5074","KANG","Y2010",0
"5075","KBAL","Y2010",1
"5076","KBSF","Y2010",0
"5077","KE","Y2010",0
"5078","KELYA","Y2010",1
"5079","KELYB","Y2010",1
"5080","KEQU","Y2010",1
"5081","KERX","Y2010",1
"5082","KEYW","Y2010",1
"5083","KFRC","Y2010",1
"5084","KGJI","Y2010",1
"5085","KHC","Y2010",0
"5086","KIDS","Y2010",0
"5087","KIN","Y2010",0
"5088","KIRK","Y2010",1
"5089","KLAC","Y2010",1
"5090","KLIC","Y2010",1
"5091","KLXI","Y2010",0
"5092","KMDA","Y2010",0
"5093","KMPH","Y2010",0
"5094","KNDI","Y2010",1
"5095","KONA","Y2010",1
"5096","KONE","Y2010",0
"5097","KOOL","Y2010",1
"5098","KOPN","Y2010",1
"5099","KOSS","Y2010",1
"5100","KPTI","Y2010",0
"5101","KRNT","Y2010",0
"5102","KRYS","Y2010",NA
"5103","KTCC","Y2010",1
"5104","KTEC","Y2010",1
"5105","KTOS","Y2010",1
"5106","KTOV","Y2010",0
"5107","KTWO","Y2010",0
"5108","KURA","Y2010",0
"5109","KVHI","Y2010",1
"5110","KZIA","Y2010",1
"5111","LABL","Y2010",1
"5112","LAKE","Y2010",1
"5113","LAMR","Y2010",1
"5114","LANC","Y2010",1
"5115","LAND","Y2010",0
"5116","LAUR","Y2010",0
"5117","LAWS","Y2010",1
"5118","LAYN","Y2010",1
"5119","LBCC","Y2010",0
"5120","LBIX","Y2010",1
"5121","LBRDA","Y2010",0
"5122","LBRDK","Y2010",0
"5123","LBTYA","Y2010",1
"5124","LBTYB","Y2010",1
"5125","LBTYK","Y2010",1
"5126","LCUT","Y2010",1
"5127","LE","Y2010",0
"5128","LECO","Y2010",1
"5129","LEDS","Y2010",0
"5130","LENS","Y2010",0
"5131","LEXEA","Y2010",0
"5132","LEXEB","Y2010",0
"5133","LFUS","Y2010",1
"5134","LFVN","Y2010",1
"5135","LGCY","Y2010",1
"5136","LGCYO","Y2010",NA
"5137","LGCYP","Y2010",NA
"5138","LGIH","Y2010",0
"5139","LGND","Y2010",1
"5140","LHCG","Y2010",1
"5141","LIFE","Y2010",0
"5142","LILA","Y2010",0
"5143","LILAK","Y2010",0
"5144","LINC","Y2010",1
"5145","LIND","Y2010",0
"5146","LINK","Y2010",1
"5147","LINU","Y2010",1
"5148","LITE","Y2010",0
"5149","LIVN","Y2010",0
"5150","LJPC","Y2010",0
"5151","LKQ","Y2010",1
"5152","LLIT","Y2010",1
"5153","LLNW","Y2010",1
"5154","LMAT","Y2010",1
"5155","LMB","Y2010",0
"5156","LMNR","Y2010",1
"5157","LMNX","Y2010",1
"5158","LMRK","Y2010",0
"5159","LNCE","Y2010",1
"5160","LNDC","Y2010",1
"5161","LNTH","Y2010",0
"5162","LOAN","Y2010",1
"5163","LOCO","Y2010",0
"5164","LOGI","Y2010",1
"5165","LOGM","Y2010",1
"5166","LONE","Y2010",0
"5167","LOOP","Y2010",0
"5168","LOPE","Y2010",1
"5169","LORL","Y2010",1
"5170","LOXO","Y2010",0
"5171","LPCN","Y2010",0
"5172","LPNT","Y2010",1
"5173","LPSN","Y2010",1
"5174","LPTH","Y2010",1
"5175","LPTX","Y2010",0
"5176","LQDT","Y2010",1
"5177","LRAD","Y2010",1
"5178","LRCX","Y2010",1
"5179","LSCC","Y2010",1
"5180","LSTR","Y2010",1
"5181","LSXMK","Y2010",0
"5182","LTBR","Y2010",1
"5183","LTRPA","Y2010",0
"5184","LTRPB","Y2010",0
"5185","LTRX","Y2010",1
"5186","LULU","Y2010",1
"5187","LUNA","Y2010",1
"5188","LVNTA","Y2010",0
"5189","LVNTB","Y2010",0
"5190","LWAY","Y2010",1
"5191","LXRX","Y2010",1
"5192","LYTS","Y2010",1
"5193","MACK","Y2010",0
"5194","MAGS","Y2010",1
"5195","MAMS","Y2010",1
"5196","MANH","Y2010",1
"5197","MANT","Y2010",1
"5198","MAR","Y2010",1
"5199","MARA","Y2010",0
"5200","MARK","Y2010",1
"5201","MARPS","Y2010",1
"5202","MASI","Y2010",1
"5203","MAT","Y2010",1
"5204","MATR","Y2010",1
"5205","MATW","Y2010",1
"5206","MAYS","Y2010",0
"5207","MB","Y2010",0
"5208","MBII","Y2010",0
"5209","MBIO","Y2010",NA
"5210","MBOT","Y2010",1
"5211","MBRX","Y2010",0
"5212","MBUU","Y2010",0
"5213","MBVX","Y2010",1
"5214","MCEP","Y2010",0
"5215","MCFT","Y2010",0
"5216","MCHP","Y2010",1
"5217","MCHX","Y2010",1
"5218","MCRB","Y2010",0
"5219","MCRI","Y2010",1
"5220","MDB","Y2010",0
"5221","MDCA","Y2010",1
"5222","MDCO","Y2010",1
"5223","MDGL","Y2010",1
"5224","MDGS","Y2010",0
"5225","MDLZ","Y2010",1
"5226","MDRX","Y2010",1
"5227","MDSO","Y2010",1
"5228","MDWD","Y2010",0
"5229","MDXG","Y2010",1
"5230","MEDP","Y2010",0
"5231","MEET","Y2010",1
"5232","MEIP","Y2010",1
"5233","MELI","Y2010",1
"5234","MEOH","Y2010",1
"5235","MERC","Y2010",1
"5236","MESO","Y2010",1
"5237","METC","Y2010",0
"5238","MGEE","Y2010",1
"5239","MGEN","Y2010",0
"5240","MGI","Y2010",1
"5241","MGIC","Y2010",1
"5242","MGLN","Y2010",1
"5243","MGNX","Y2010",0
"5244","MGPI","Y2010",1
"5245","MGRC","Y2010",1
"5246","MICT","Y2010",0
"5247","MIDD","Y2010",1
"5248","MIK","Y2010",0
"5249","MIME","Y2010",0
"5250","MIND","Y2010",1
"5251","MINI","Y2010",1
"5252","MITK","Y2010",1
"5253","MITL","Y2010",1
"5254","MKSI","Y2010",1
"5255","MLAB","Y2010",1
"5256","MLCO","Y2010",1
"5257","MLHR","Y2010",1
"5258","MLNK","Y2010",1
"5259","MLNT","Y2010",0
"5260","MLNX","Y2010",1
"5261","MMLP","Y2010",1
"5262","MMSI","Y2010",1
"5263","MMYT","Y2010",1
"5264","MNDO","Y2010",1
"5265","MNGA","Y2010",1
"5266","MNKD","Y2010",1
"5267","MNLO","Y2010",0
"5268","MNOV","Y2010",1
"5269","MNRO","Y2010",1
"5270","MNST","Y2010",1
"5271","MNTA","Y2010",1
"5272","MNTX","Y2010",1
"5273","MOBL","Y2010",0
"5274","MOMO","Y2010",0
"5275","MOSY","Y2010",1
"5276","MOTS","Y2010",0
"5277","MOXC","Y2010",0
"5278","MPAA","Y2010",1
"5279","MPVD","Y2010",1
"5280","MPWR","Y2010",1
"5281","MRAM","Y2010",0
"5282","MRCY","Y2010",1
"5283","MRDN","Y2010",1
"5284","MRNS","Y2010",0
"5285","MRSN","Y2010",0
"5286","MRTN","Y2010",1
"5287","MRTX","Y2010",0
"5288","MRUS","Y2010",0
"5289","MRVL","Y2010",1
"5290","MSCC","Y2010",1
"5291","MSEX","Y2010",1
"5292","MSFT","Y2010",1
"5293","MSON","Y2010",1
"5294","MSTR","Y2010",1
"5295","MTBC","Y2010",0
"5296","MTBCP","Y2010",NA
"5297","MTCH","Y2010",0
"5298","MTEM","Y2010",1
"5299","MTEX","Y2010",1
"5300","MTFB","Y2010",0
"5301","MTGE","Y2010",0
"5302","MTGEP","Y2010",NA
"5303","MTLS","Y2010",0
"5304","MTP","Y2010",0
"5305","MTRX","Y2010",1
"5306","MTSC","Y2010",1
"5307","MTSI","Y2010",0
"5308","MTSL","Y2010",1
"5309","MU","Y2010",1
"5310","MVIS","Y2010",1
"5311","MXIM","Y2010",1
"5312","MXWL","Y2010",1
"5313","MYGN","Y2010",1
"5314","MYL","Y2010",1
"5315","MYND","Y2010",1
"5316","MYOK","Y2010",0
"5317","MYOS","Y2010",1
"5318","MYRG","Y2010",1
"5319","MYSZ","Y2010",0
"5320","MZOR","Y2010",0
"5321","NAII","Y2010",1
"5322","NAKD","Y2010",0
"5323","NANO","Y2010",1
"5324","NAOV","Y2010",0
"5325","NATH","Y2010",1
"5326","NATI","Y2010",1
"5327","NATR","Y2010",1
"5328","NAUH","Y2010",1
"5329","NBEV","Y2010",0
"5330","NBIX","Y2010",1
"5331","NBRV","Y2010",0
"5332","NCMI","Y2010",1
"5333","NCNA","Y2010",0
"5334","NCSM","Y2010",0
"5335","NCTY","Y2010",1
